"",gene_symbol,GSM2388498,GSM2388499,GSM2388500,GSM2388501,GSM2388502,GSM2388503,GSM2388504,GSM2388505,GSM2388506,GSM2388507,GSM2388508,GSM2388509,GSM2388510
ENSG00000006837,CDKL3,21.8588,9.2357,3.7942,17.4856,6.7244,0.5611,4.366,22.2213,0,55.5396,1.7765,14.9187,7.4208
ENSG00000007001,UPP2,0.5769,23.5374,295.84,0,22.3115,5.8983,0,8.0378,0,2.5816,63.2354,10.6798,0
ENSG00000007038,PRSS21,0,0,0,0,0.7873,0,0,0.5861,0,0.9454,0,0,0
ENSG00000007047,MARK4,155.0734,2.9408,4.1444,90.3564,48.1801,326.3038,308.7929,11.1022,0.3034,38.3984,25.8342,23.3287,105.6224
ENSG00000007062,PROM1,0,20.4919,0,16.6085,0,64.3898,0.5867,0.6149,11.8599,1268.4703,0,10.9228,21.8551
ENSG00000007080,CCDC124,1.1834,1.2843,3.246,21.1683,5.5884,413.4702,56.2831,562.1058,12.6479,5.3424,1.9017,36.4067,15.5473
ENSG00000007129,CEACAM21,0,0,0.5449,0,0.3001,13.925,15.6134,0,0,0,8.6658,1.3007,0.8672
ENSG00000007168,PAFAH1B1,555.8739,9.7054,6.0293,12636.952,45.3681,37.2345,104.5699,1018.0235,301.9612,1897.4898,461.9474,268.24,92.5169
ENSG00000007171,NOS2,0,4.2007,0,0,0,0,0.7171,22.21,0,14.28,17.69,0,2.6823
ENSG00000007174,DNAH9,0,0.8622,0,2.4245,3.7052,5.9699,0.1921,0,0,65.1519,0,0.7533,3.707
ENSG00000007202,KIAA0100,1118.5086,370.159,2225.9904,1171.1908,142.0719,36.1705,781.1768,2670.1429,1.4988,1977.7431,180.9165,8778.3918,401.3194
ENSG00000007216,SLC13A2,0,2.3271,9.1227,0,2.3329,0.7132,0.8139,2.1838,5.3649,0,0,0,2.3561
ENSG00000007237,GAS7,21.2549,695.0746,13.3074,105.7138,27.568,41.0614,1.7358,34.7521,1.3113,27.1157,2.5627,194.5873,268.6815
ENSG00000007255,TRAPPC6A,9.8009,0.9214,0,67.6014,2.1093,281.9949,81.0351,2.1989,289.3154,84.4431,9.9067,21.9463,8.2292
ENSG00000007264,MATK,0,2.6246,0,1.6947,1.3216,3.1238,42.0777,0,5.2639,15.3685,10.1392,2.7868,3.1699
ENSG00000007306,CEACAM7,0,0,0,0,0,0,0,0,0,0,1.2751,0,0
ENSG00000007312,CD79B,3.9034,0,15.7194,43.4562,0,1.1993,0,23.5068,0,0,0,44.7091,0.5453
ENSG00000007314,SCN4A,21.0741,0.8689,12.8626,31.3551,0,3.3756,0,9.341,0,0,15.5757,60.5952,1.6308
ENSG00000007341,ST7L,1.0022,2.6501,2.7383,181.396,15.2458,71.2414,64.024,22.5752,3.3803,367.4989,1.1375,29.0107,17.5148
ENSG00000007350,TKTL1,0,7.1351,0,7.8206,0,26.4722,0,0.1051,0,19.6253,0,0,0
ENSG00000007372,PAX6,5.4676,0,5.2149,15.6805,5.0116,4.086,44.4498,11.8996,3.6515,15.7442,0,10.5439,10.5338
