	Size	liver_PPI
ClusterID:1034	1	0
ClusterID:1035	5	7
ClusterID:1036	1	0
ClusterID:1037	5	10
ClusterID:1038	1	0
ClusterID:1039	1	0
ClusterID:1040	1	0
ClusterID:1041	3	2
ClusterID:1042	1	0
ClusterID:1043	2	1
ClusterID:1044	2	1
ClusterID:1045	1	0
ClusterID:1046	1	0
ClusterID:1047	1	0
ClusterID:1048	1	0
ClusterID:1049	1	0
ClusterID:1050	4	3
ClusterID:1051	1	0
ClusterID:1052	2	1
ClusterID:1053	6	12
ClusterID:1054	2	1
ClusterID:1055	1	0
ClusterID:1056	1	0
ClusterID:1057	1	0
ClusterID:1058	3	2
ClusterID:1059	3	2
ClusterID:1060	4	6
ClusterID:1061	17	65
ClusterID:1062	1	0
ClusterID:1063	3	2
ClusterID:1064	1	0
ClusterID:1065	3	3
ClusterID:1066	3	3
ClusterID:1067	3	2
ClusterID:1068	18	92
ClusterID:1069	3	3
ClusterID:1070	1	0
ClusterID:1071	1	0
ClusterID:1072	1	0
ClusterID:1073	14	44
ClusterID:1074	5	9
ClusterID:1075	1	0
ClusterID:1076	1	0
ClusterID:1077	1	0
ClusterID:1078	3	3
ClusterID:1079	2	1
ClusterID:1080	10	39
ClusterID:1081	2	1
ClusterID:1082	2	1
ClusterID:1083	3	2
ClusterID:1084	1	0
ClusterID:1085	5	5
ClusterID:1086	1	0
ClusterID:1087	7	18
ClusterID:1088	1	0
ClusterID:1089	5	9
ClusterID:1090	12	49
ClusterID:1091	2	1
ClusterID:1092	4	5
ClusterID:1093	2	1
ClusterID:1094	3	2
ClusterID:1095	3	3
ClusterID:1096	1	0
ClusterID:1097	2	1
ClusterID:1098	1	0
ClusterID:1099	1	0
ClusterID:1100	1	0
ClusterID:1101	2	1
ClusterID:1102	6	7
ClusterID:1103	9	30
ClusterID:1104	3	2
ClusterID:1105	1	0
ClusterID:1106	1	0
ClusterID:1107	1	0
ClusterID:1108	4	4
ClusterID:1109	13	78
ClusterID:1110	2	1
ClusterID:1111	5	8
ClusterID:1112	2	1
ClusterID:1113	1	0
ClusterID:1114	4	6
