Genes	ids
CHSY3	1466
BCAT2	1467
ALDH1A1	1468
HS3ST4	1469
GPT2	1470
DGKQ	1471
ATP4A	1472
SLC9A2	1473
ACO1	1474
CLC	1475
NDUFC2	1476
CHPF2	1477
UGT1A4	1478
SLC25A10	1479
ACER1	1480
SLC33A1	1481
MTMR6	1482
B3GNT5	1483
GLB1L	1484
PDE6H	1485
CHST14	1486
PIGN	1487
PANK2	1488
ND5	1489
ACMSD	1490
ENTPD1	1491
DTYMK	1492
NT5C1B	1493
AMY1A	1494
ND6	1495
CBR3	1496
NDST1	1497
ENO2	1498
GCK	1499
SHMT2	1500
AQP7	1501
NDUFV1	1502
DHRS3	1503
DOLPP1	1504
PDHB	1505
100507855_AT1	1506
HMBS	1507
GLS	1508
SACM1L	1509
PTPDC1	1510
UGCG	1511
ND4	1512
CPA6	1513
GNPNAT1	1514
ATP1B1	1515
EHMT2	1516
CBS	1517
PLCZ1	1518
CYP2C18	1519
DPEP1	1520
ATP1B3	1521
FAH	1522
BPNT1	1523
PNMT	1524
PIK3C3	1525
CHIA	1526
GAL3ST1	1527
COQ6	1528
CANT1	1529
ADCY2	1530
GPAM	1531
IREB2	1532
ETNK1	1533
SLC6A1	1534
PDE7B	1535
GPCPD1	1536
NDUFS4	1537
AGPAT1	1538
SLC17A2	1539
B3GALT2	1540
ABCA1	1541
OCRL	1542
NDUFS3	1543
SLC6A18	1544
SLC7A10	1545
GUSB	1546
SLC6A11	1547
G6PC	1548
DGKI	1549
SUV39H1	1550
SLC6A2	1551
PNLIPRP1	1552
SLC19A1	1553
SLC7A9	1554
SLC26A1	1555
CA1	1556
CARNS1	1557
CPT1C	1558
TECR	1559
ELOVL1	1560
NANS	1561
QPRT	1562
PLPP7	1563
SLC25A18	1564
MDH2	1565
HS6ST3	1566
UGT1A5	1567
SLC26A4	1568
HACD2	1569
UGT2B10	1570
MGAM	1571
PDE8B	1572
H6PD	1573
RDH10	1574
B3GAT3	1575
ACSM3	1576
RDH14	1577
AGL	1578
SLC4A5	1579
ALDOB	1580
SLC25A28	1581
IP6K2	1582
PPIP5K1	1583
CA13	1584
CYP7A1	1585
SLC2A4	1586
ST6GALNAC1	1587
ADCY1	1588
SDHA	1589
PDE1C	1590
GCLC	1591
PLA2G3	1592
SLC2A11	1593
PLCG2	1594
NDUFB5	1595
CYP11A1	1596
PLA2G12A	1597
UQCRC1	1598
SLC4A10	1599
ALDH3A2	1600
FECH	1601
PIP4K2B	1602
SLC7A11	1603
LIPA	1604
PGM1	1605
ALDH1A3	1606
SLC28A3	1607
SOAT2	1608
HS3ST3B1	1609
ACADL	1610
TKFC	1611
PMVK	1612
286016_AT1	1613
CYP2A7	1614
ACP5	1615
GPAA1	1616
ABAT	1617
SLC43A2	1618
PDE4A	1619
IDH2	1620
SETD7	1621
GNS	1622
SLC35B4	1623
ACP1	1624
PDHX	1625
PFKFB4	1626
SLC27A5	1627
CYB5D1	1628
DUSP11	1629
HMGCLL1	1630
ANPEP	1631
GPI	1632
OXSM	1633
GNMT	1634
GLT8D1	1635
HEXDC	1636
PIGQ	1637
SLC17A1	1638
G6PD	1639
MAOB	1640
PIP5KL1	1641
COX3	1642
FABP2	1643
FUT2	1644
LRTOMT	1645
NDUFA9	1646
SLC52A3	1647
CDS1	1648
GLRX2	1649
SLC26A7	1650
PIGM	1651
SLC38A3	1652
SLCO2A1	1653
PLA2G4B	1654
ABO	1655
SULT2B1	1656
COASY	1657
TPSD1	1658
COQ5	1659
AMDHD1	1660
SLC13A1	1661
SLC11A1	1662
GGT1	1663
NDST3	1664
RFK	1665
MOXD1	1666
