gene,t-statistic,adj_p-value,effect size
CPNE7,3.253652750003963,0.0019876116263623433,0.5847681541741903
CASP10,3.11669877600655,0.002504634676508804,0.5848130106653596
PRIM1,3.2324558537019525,0.0020339160678762014,0.5848136861921899
WDSUB1,3.089293746217998,0.0026774287048914724,0.5848296034223951
SPTLC2,3.149315916357809,0.002331300113670195,0.58487502807416
CSNK2A1,3.1869357937391536,0.0021724183972530553,0.5848896028093601
ZCCHC9,3.1739479027885045,0.002221100859184816,0.5849835603647151
WDR6,3.1267367686693053,0.0024443088638437644,0.5851288846530616
ANKS3,3.1146034781088963,0.0025136571641103333,0.5851384178111837
KDM5B,3.147633024122824,0.0023356458421439135,0.585158740645387
MGAT3,3.248902235217188,0.001988082200015531,0.5851728860701179
HS6ST2,3.259311051081219,0.001965357188308476,0.5852512822209669
KIF18B,3.2556218533962253,0.001970819005481973,0.5853239850456583
ZNF439,3.11689370517029,0.002497907810375944,0.5853628832371038
CDKN2C,3.197513511425049,0.0021259503190087037,0.5854011538530414
GLB1,3.1500212797890303,0.002320305642756423,0.5854499877712073
LBH,3.2350870187475826,0.002012309246309561,0.5855273149600944
MEN1,3.1342886222377637,0.0023986784474580173,0.5855474445924603
ZNF449,3.1556187789530474,0.002292094382906546,0.5855816255272539
NAT8L,3.2598291797271797,0.0019521615459593214,0.5857761867964105
RALA,3.144495469677408,0.0023412673400328293,0.585940717607968
ZNF773,3.1297018324909898,0.002419043311773665,0.5859444884673554
STC2,3.2581238278167497,0.0019504809199724664,0.5859959688955886
SNX29,3.2014238413814966,0.002101624977320976,0.5860292875028792
PTCHD4,3.2401769347643494,0.001988276835381134,0.586078080658769
HOMER3,3.121491281523847,0.0024634268630563533,0.5861344508033072
FUT10,3.1945286669840787,0.002123429599134274,0.5861631014593779
NFASC,3.184963500541991,0.002158492923805571,0.5861968191115937
BNIPL,3.0476917339257303,0.0029904564492488823,0.5863662310668161
NUP37,3.2452204016721224,0.0019671547007821164,0.5865122102301131
RPS6KL1,3.1190142936352836,0.002472910133035917,0.586658588517973
SLC9A5,3.120117575258646,0.0024650918465303835,0.5867976417095299
HMGCR,3.2224151155946137,0.0020214384682576375,0.5868003556906074
CTSG,3.2266863658842717,0.0020060946602294977,0.5869622322036556
CEP152,3.2483570874336034,0.0019478674659916821,0.5870841239869842
DMKN,3.175654599432388,0.0021826642857539344,0.5870841253983962
METTL9,3.178813131094775,0.0021694908022897837,0.5870879249580893
TMEM144,3.2120007853665586,0.0020478034416021762,0.5871102186046683
ZNF346,3.1871577644278815,0.002134834174862668,0.5871760826023722
GNPDA1,3.235849380188594,0.0019743944118520386,0.5873068243383404
TMEM69,3.1528970078020775,0.0022808554327483476,0.5874919036025875
