,t-statistic,p-value,effect size
14613,2.5827775194780256,0.012527227867313096,0.4725590213439347
2615,2.5304824655705027,0.013668475738919423,0.4725624957575964
2579,2.5831242966260226,0.012517704980366034,0.4725984119370871
19501,2.485754821251842,0.014949853752354457,0.4727454281745483
9318,2.501438590485479,0.014460804846693844,0.4727774010251933
3168,2.5924237325357367,0.012333366136136161,0.47283350780851063
1041,2.497044642331463,0.01458758265234799,0.4729216179750187
19365,2.4442918324094696,0.016427692010999466,0.4729264982672391
2233,2.54712689926238,0.01323574916988942,0.4730088924990539
1285,2.5935810294058648,0.012297470748237222,0.4730243395720442
3349,2.5323998500775726,0.01359159329229037,0.4730552534928426
4115,2.59148551185429,0.012327138550618006,0.4731030616522119
2603,2.5097014407374716,0.014201699060426528,0.47314639575611434
19105,2.4049727449527176,0.018111546202466588,0.47316541422572556
2874,2.5551687183359983,0.013037288010084051,0.4732423259375254
6398,2.4935050215017966,0.014683033454824631,0.47327366415919075
12709,2.4696337736897065,0.015475820917828438,0.4732922358863562
6355,2.5805478204232046,0.012504642781316366,0.4733733869537533
2532,2.4319503397582394,0.016920132773994654,0.47341522117893
18645,2.5948427706133588,0.012232487515914797,0.473544179084295
18110,2.5576911858221574,0.012960541730444142,0.47355597646550157
4960,2.4706635024315755,0.015431528175491538,0.4735765700718157
12420,2.4765105811446366,0.015227212030614955,0.47363222212174483
6261,2.5119010677571323,0.01411514545988097,0.47365084624654785
3454,2.583116608020938,0.012432584362008819,0.4736797487241255
19001,2.4744647657137335,0.015294095603342486,0.4737474391596033
7257,2.55720187510873,0.012955455437717462,0.4737982756776351
14106,2.5113798976517687,0.014120699679816337,0.47385763618969073
16040,2.517153125885457,0.013956436986880795,0.4738621797598963
5893,2.483810563443961,0.014970242619615808,0.47398013763449487
11101,2.599502496075398,0.0121136020866792,0.4740210945825497
4928,2.5138304924303996,0.014038963180455442,0.47410790316290663
3594,2.482415807902157,0.015012426432236218,0.474111937419011
19310,2.527707505100338,0.013651896856942153,0.47419744847754985
7831,2.5980097720776114,0.012123865288687875,0.4742036291803062
18985,2.4391805514119262,0.01661181946606624,0.4742380337187267
2726,2.595583863897946,0.012160673623169116,0.4742662471353158
14471,2.5477252302455122,0.013143690889053858,0.4742765249030962
6773,2.4692735098722887,0.015461635335473706,0.47428147699856066
8847,2.598258556375012,0.012108275891887694,0.4743422477031659
5908,2.513467877346353,0.014038446803514345,0.47434955643292
19311,2.5126993800216555,0.014055232144458397,0.4744705127284557
18449,2.5332420161561364,0.013488447477410162,0.47454607457075343
10326,2.526458375580036,0.01366514485976797,0.47459736444581874
17368,2.559298058872286,0.012846284009966402,0.47476886733478585
4859,2.601024323766607,0.012018708143216093,0.4748630036607328
9180,2.5131295737101302,0.014024390745416759,0.4748923768371935
6372,2.593818641602966,0.012138515140430172,0.4749410914655715
8276,2.570996541683869,0.01256999710209524,0.4751151348867388
1602,2.5776634561503116,0.012431582125031196,0.4751359079286976
11298,2.559779867460754,0.012809401424719681,0.47518464706504315
5844,2.565692516606579,0.01267771664652932,0.47519906556377906
9345,2.468404073943543,0.015467125317870352,0.47534253117749165
1577,2.596008299855754,0.012068101881630084,0.47534397621249497
42,2.4757108805473647,0.015204529273647543,0.4754205362751202
7241,2.5162829519214385,0.013910347827480612,0.47542463577766036
12386,2.5464453403911205,0.013107188040582465,0.4754441987192373
14918,2.4898862357524516,0.014719019029689622,0.47555225306972093
13361,2.4984850765479103,0.01444158467892688,0.4755656251886061
18741,2.518811941340837,0.01383095595116442,0.4755860671697387
4045,2.5022283821247124,0.01432312986728443,0.47560533028325014
6915,2.602046460657329,0.011941444154922463,0.4756097776728706
14293,2.4764274313820693,0.015174307875073574,0.4756193496524944
16720,2.5643115058022636,0.012679252662185655,0.47565025644398334
13849,2.533262105889376,0.013431353742714362,0.4756536338215913
275,2.591841686039699,0.012120278352452616,0.47565503313978363
17875,2.568906915144762,0.0125662205804451,0.4758504231056249
13653,2.455525283182356,0.015939450109099224,0.4758595922622222
12557,2.5631308226649367,0.012692196732566908,0.4758643501211129
6550,2.6058701709369867,0.011854711987908663,0.47588150520609257
16925,2.5673661004535195,0.01259715868517534,0.47588927986966595
12222,2.4618878080650273,0.01569520105883123,0.4759558983767605
16924,2.5054533163339663,0.014210105543402348,0.4759774424244054
18150,2.575780554663317,0.01240843682518664,0.4760396199538697
17719,2.5463002662834633,0.013077388492065523,0.47605340214387515
1308,2.6058495253648206,0.011829975210900576,0.4761979505518183
14528,2.5655569321707614,0.01261279967885312,0.47627705791991304
4488,2.6132002908557164,0.011701710825594293,0.47627866758706683
16042,2.529349620560725,0.013504468718298203,0.47632092467221915
11515,2.6122576492112515,0.011713473628578488,0.4763218148654957
4347,2.54476616562631,0.013101179289445392,0.4763244181620328
816,2.546876567374258,0.013038017826557079,0.476524020364861
2708,2.5963519559273913,0.011961312985100817,0.47668131062658176
611,2.5549438991161586,0.012832254763102282,0.47669919270825706
8465,2.6065892039668577,0.011777985970814026,0.47670203562568236
3577,2.6054076937863697,0.011792947512121,0.47677180603467745
6894,2.6107007629699055,0.0117018643452802,0.4767872644898368
5882,2.569778354108718,0.012488046261464828,0.4767939478051266
7210,2.54190222484845,0.013148849859586666,0.4768127179393155
7386,2.5739656915600033,0.012395688981381554,0.4768254149437625
3786,2.5300093309846976,0.013461163181637037,0.4768787698966306
8447,2.5954343608491532,0.011962976404511825,0.4768920656529395
1225,2.4828138547149985,0.01491953179576751,0.4769059126741845
18973,2.4877630280722047,0.014748636717029247,0.4769694259578046
6275,2.5728507527489075,0.012408839663215357,0.4769965936721741
18277,2.548398451750988,0.012974990790163843,0.47700547519733627
15884,2.581995921017066,0.012216655971085833,0.47700699003051655
8848,2.6165847818562433,0.011584173145435821,0.47705588964668555
15704,2.5242001602797193,0.013615035955418924,0.47706130792229584
6496,2.607432128906604,0.011734708998240613,0.47707618442281474
145,2.578598215488749,0.012280043922974083,0.47710785298776337
283,2.5765636084645425,0.012320947151121416,0.47713547523577154
2200,2.5884102342567896,0.012077867978326585,0.4771659868893369
18798,2.5496796650315487,0.01293448887923785,0.47717354305464565
13605,2.5041802093812104,0.014204994362207643,0.4772566949389075
9148,2.6173155829351087,0.01155584098933483,0.4772622945165891
9875,2.4595510809166705,0.015762595037223402,0.4772844167094967
17579,2.5205709265087677,0.013706371197352284,0.47737163158937773
12716,2.6034647798772608,0.011779532661777297,0.4774030206701735
8813,2.5685710844849936,0.012477832906785937,0.47740397475791374
8704,2.5975270493478515,0.011883024144943103,0.4774653222427276
17749,2.485013364598986,0.014827951771468824,0.4775424190991254
8145,2.527584820503785,0.013499129227362508,0.4775537574599219
11361,2.5704482922142953,0.012423792540209724,0.4776126430703018
12342,2.5136935383365806,0.013900255611271107,0.4776157592412023
4565,2.5093378286768573,0.014031871029211634,0.4776415269968135
18152,2.5164657918768807,0.013815457390085651,0.4776685027791873
17716,2.535132936485581,0.013285066857459352,0.4777030982026436
10254,2.5357013936060646,0.013265080831746198,0.47780756198546426
2218,2.466702106064178,0.01548154263419326,0.477864196738151
17316,2.559296684864074,0.012664825701750575,0.4778663157269646
4366,2.5786801340896,0.01223036824390609,0.4778665560726248
2619,2.3920841316311474,0.018778602982087115,0.4779268223525619
13172,2.550395584743967,0.012875151308302676,0.4779872059077151
14756,2.5962273750572695,0.011870023670373169,0.47799881567862285
1584,2.4966125323721595,0.014423112746487323,0.4780850956551708
12081,2.5939574988198575,0.011905767638404764,0.47811096422003285
12617,2.5158430685317676,0.013812391253550388,0.47827026108699916
1812,2.5479141581399527,0.012922485387416714,0.47829690376965417
7768,2.6148412133866996,0.011505734192106086,0.4784297225775699
12956,2.5703155115625815,0.012377181237439526,0.4784649902018673
5773,2.6096078773183833,0.011592708393128927,0.47846914862814477
